Date,Open,High,Low,Close,Adj Close,Volume
2012-12-19,34.666668,34.993332,34.560001,34.580002,32.069824,1528200
2012-12-20,34.599998,35.320000,34.586666,35.313332,32.749920,1118400
2012-12-21,34.959999,35.060001,34.526669,34.740002,32.218204,1186200
2012-12-24,34.740002,34.980000,34.506668,34.733334,32.212013,502500
2012-12-26,34.799999,34.799999,34.273335,34.400002,31.902878,553500
2012-12-27,34.439999,34.459999,33.786667,34.093334,31.618481,920100
2012-12-28,33.906666,34.200001,33.813332,33.973331,31.507181,756400
2012-12-31,33.986668,34.446667,33.733334,34.446667,31.946161,787800
2013-01-02,34.933334,35.040001,34.419998,35.033333,32.632339,705300
2013-01-03,35.013332,35.426666,34.886665,35.419998,32.992512,1110900
2013-01-04,35.386665,35.793335,35.386665,35.639999,33.197426,833500
2013-01-07,35.413334,35.713333,35.240002,35.686668,33.240906,667500
2013-01-08,35.526669,35.593334,35.246666,35.366665,32.942825,1071400
2013-01-09,35.340000,35.660000,35.320000,35.353333,32.930408,1060200
2013-01-10,34.786667,35.599998,34.786667,35.493332,33.060814,1386000
2013-01-11,35.626667,35.686668,35.259998,35.633335,33.191223,883300
2013-01-14,35.646667,35.813332,35.433334,35.680000,33.234695,857800
2013-01-15,35.500000,35.653332,35.366665,35.626667,33.185017,565800
2013-01-16,35.520000,35.753334,35.346668,35.713333,33.265743,668500
2013-01-17,35.766666,36.020000,35.706665,35.740002,33.290588,804300
2013-01-18,35.806667,35.880001,35.546665,35.840000,33.383717,591600
2013-01-22,35.840000,36.293335,35.753334,36.286667,33.799770,736600
2013-01-23,36.166668,36.326668,36.066666,36.293335,33.805988,518100
2013-01-24,36.560001,37.180000,36.560001,37.006668,34.470421,1318600
2013-01-25,37.220001,37.406666,36.713333,37.320000,34.762291,1442400
2013-01-28,37.320000,37.340000,36.906666,37.099998,34.557369,1244800
2013-01-29,37.099998,37.173332,36.946667,37.106667,34.563572,1117300
2013-01-30,37.066666,37.133335,36.846668,37.053333,34.513905,597600
2013-01-31,37.053333,37.173332,36.833332,37.139999,34.594624,1011900
2013-02-01,37.506668,37.619999,37.299999,37.346668,34.787132,940600
2013-02-04,37.106667,37.299999,36.893333,36.919998,34.389706,774100
2013-02-05,36.653332,37.146667,36.333332,36.686668,34.172359,1632600
2013-02-06,36.540001,37.240002,36.506668,37.186668,34.638092,1154200
2013-02-07,37.259998,37.353333,36.700001,36.986668,34.451805,1112100
2013-02-08,36.959999,37.133335,36.873333,37.033333,34.495266,537600
2013-02-11,37.053333,37.233334,36.880001,37.213333,34.662945,538200
2013-02-12,37.220001,37.353333,37.099998,37.333332,34.774712,594900
2013-02-13,37.313332,37.506668,37.226665,37.419998,34.855431,630600
2013-02-14,37.273335,37.353333,37.020000,37.320000,34.762291,625300
2013-02-15,37.513332,37.613335,37.220001,37.473331,34.905117,914500
2013-02-19,37.706665,37.919998,37.299999,37.820000,35.228027,973900
2013-02-20,37.786667,37.820000,37.233334,37.279999,34.725018,886200
2013-02-21,37.213333,37.333332,36.980000,37.133335,34.588421,707500
2013-02-22,37.333332,37.419998,37.073334,37.419998,34.855431,798300
2013-02-25,37.546665,37.599998,36.660000,36.666668,34.153717,1157400
2013-02-26,36.846668,37.073334,36.580002,36.880001,34.352444,763900
2013-02-27,36.846668,37.453335,36.846668,37.400002,34.836811,642100
2013-02-28,37.340000,37.660000,37.166668,37.459999,34.892700,1164000
2013-03-01,37.206665,37.633335,36.919998,37.533333,34.960999,850300
2013-03-04,37.380001,37.820000,37.266666,37.820000,35.228027,513700
2013-03-05,38.006668,38.386665,37.993332,38.273335,35.650295,861900
2013-03-06,38.400002,38.626667,38.326668,38.553333,35.911098,624300
2013-03-07,38.573334,38.753334,38.419998,38.633335,35.985622,738600
2013-03-08,38.833332,39.106667,38.700001,38.900002,36.234001,789000
2013-03-11,38.786667,39.193333,38.746666,39.186668,36.501022,634500
2013-03-12,39.193333,39.253334,39.060001,39.180000,36.494816,530500
2013-03-13,39.193333,39.613335,39.139999,39.593334,36.879822,618900
2013-03-14,39.693333,39.833332,39.513332,39.753334,37.028862,1161700
2013-03-15,39.626667,39.793335,39.313332,39.573334,36.861191,1102600
2013-03-18,39.139999,39.493332,39.026669,39.106667,36.426514,724000
2013-03-19,39.200001,39.373333,38.933334,39.153332,36.469975,415800
2013-03-20,39.380001,39.759998,39.273335,39.446667,36.743217,801100
2013-03-21,39.240002,39.439999,39.080002,39.279999,36.587959,527200
2013-03-22,39.380001,39.526669,39.240002,39.526669,36.817719,478300
2013-03-25,39.646667,39.693333,39.213333,39.453335,36.749416,450100
2013-03-26,39.646667,39.646667,39.380001,39.546665,36.836353,602100
2013-03-27,39.306667,39.599998,39.240002,39.560001,36.848782,644500
2013-03-28,39.493332,39.906666,39.493332,39.866665,37.134418,1093000
2013-04-01,39.886665,39.980000,39.419998,39.639999,36.923290,580000
